epoch,train_loss,val_loss,val_acc,epoch_seconds,is_best,no_improve_count
1,8.057111958662668,1.4334733009338378,0.33125,103.2391767000081,1,0
2,1.7019492387771606,1.0912838220596313,0.3875,81.89623340009712,1,0
3,1.3129736185073853,1.103079867362976,0.35625,99.21707929996774,0,1
4,1.2044055213530858,1.0985968112945557,0.35625,94.38282660010736,0,2
5,1.1686415026585262,1.0879153728485107,0.375,56.66636519995518,0,3
6,1.1365044216314952,1.089007306098938,0.4,74.41223830007948,1,0
7,1.1384839862585068,1.1000999689102173,0.3625,87.8615170000121,0,1
8,1.1129609818259876,1.0892632484436036,0.39375,94.33488460001536,0,2
9,1.1232245763142903,1.0854063749313354,0.375,91.38908320001792,0,3
10,1.1344015995661418,1.091780686378479,0.36875,81.26787219999824,0,4
11,1.0933034121990204,1.0942339897155762,0.3875,48.347784600104205,0,5
12,1.0844851781924565,1.0878178596496582,0.3625,61.8875534000108,0,6
13,1.0695208112398784,1.081653618812561,0.36875,52.099696100107394,0,7
14,1.0523822456598282,1.0857097387313843,0.43125,54.211875800043344,1,0
15,1.052154968182246,1.076325488090515,0.4125,58.32636599999387,0,1
16,1.054965227842331,1.0708327531814574,0.4125,56.11889030004386,0,2
17,1.0276721989115079,1.0720704793930054,0.4125,52.40316799993161,0,3
18,1.0266901055971782,1.0669699430465698,0.425,55.448545500054024,0,4
19,1.0488140831391017,1.0696103811264037,0.41875,55.87503880006261,0,5
20,0.9919242262840271,1.0640038967132568,0.4125,57.396257400047034,0,6
21,0.9968278879920641,1.0481956958770753,0.40625,55.134766299976036,0,7
22,0.9854303846756617,1.0726416110992432,0.4375,52.36518290010281,1,0
23,0.986921414732933,1.060136890411377,0.45625,54.821015599998645,1,0
24,0.9886069148778915,1.0645064830780029,0.45625,56.05645369994454,0,1
25,0.9732793644070625,1.0781000137329102,0.45,59.92954639997333,0,2
26,0.9152984296282133,1.0686528921127318,0.425,58.61548539996147,0,3
27,0.9514364277323087,1.0529094457626342,0.4625,61.062302300008014,1,0
28,0.8956670289238294,1.036497712135315,0.48125,56.64863970002625,1,0
29,0.8862814356883367,1.0222914814949036,0.4125,54.026386599987745,0,1
30,0.8798521757125854,1.0132665395736695,0.4375,55.258966799941845,0,2
31,0.8743827690680822,1.029448914527893,0.475,56.21136130008381,0,3
32,0.870462047557036,1.0217417478561401,0.48125,51.01793189998716,0,4
33,0.8584059452017149,1.0284966707229615,0.49375,53.061218899907544,1,0
34,0.8590244427323341,1.0147990465164185,0.49375,52.79456760000903,0,1
35,0.8173604980111122,1.0058935046195985,0.49375,58.75223730003927,0,2
36,0.797973151008288,1.0146960139274597,0.50625,49.90543229994364,1,0
37,0.7816870659589767,1.025578761100769,0.49375,50.59362339996733,0,1
38,0.7993523528178533,1.0132816553115844,0.48125,54.017618800047785,0,2
39,0.7884987567861875,1.0054919719696045,0.48125,54.875508500030264,0,3
40,0.7903847495714823,0.9929134964942932,0.4875,61.59232590009924,0,4
41,0.7498067418734232,1.0007075548171998,0.53125,54.48188239999581,1,0
42,0.7257369384169579,0.999206256866455,0.5375,52.80038319993764,1,0
43,0.7262674321730932,1.000046193599701,0.5125,73.44775789999403,0,1
44,0.772368340442578,1.0216872811317443,0.5125,83.88835889997426,0,2
45,0.6805116521815459,1.0106354117393495,0.53125,70.5098805000307,0,3
46,0.6738205850124359,1.0497713804244995,0.4875,51.64041959994938,0,4
47,0.7049261890351772,1.0736444592475891,0.46875,51.75263499992434,0,5
48,0.7260527660449346,1.0117984294891358,0.5,92.9986840999918,0,6
